2025-02-13 06:22:26,106 - INFO - 開始下載 M3U 檔案: https://raw.githubusercontent.com/WaykeYu/IPTV1/refs/heads/main/GAT.m3u
2025-02-13 06:22:26,106 - ERROR - 程式執行失敗: name 'requests' is not defined
2025-02-13 06:26:00,860 - INFO - 開始下載 M3U 檔案: https://raw.githubusercontent.com/WaykeYu/IPTV1/refs/heads/main/GAT.m3u
2025-02-13 06:26:00,991 - INFO - 檔案已成功下載並保存到 ./GAT.m3u
2025-02-13 06:26:00,992 - INFO - 開始去除重複頻道並排序...
2025-02-13 06:26:00,996 - INFO - 已去除重複頻道並排序，結果保存到 ./GAT.m3u
2025-02-13 06:26:00,996 - INFO - 開始檢查頻道有效性...
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="纬来体育" tvg-logo="https://raw.githubusercontent.com/fanmingming/live/main/tv/纬来体育.png" group-title="🌊港·澳·台",纬来体育
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="纬来体育" tvg-logo="https://raw.githubusercontent.com/fanmingming/live/main/tv/纬来体育.png" group-title="🌊港·澳·台",纬来体育
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="纬来育乐" tvg-logo="https://raw.githubusercontent.com/fanmingming/live/main/tv/纬来育乐.png" group-title="🌊港·澳·台",纬来育乐
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="纬来育乐" tvg-logo="https://raw.githubusercontent.com/fanmingming/live/main/tv/纬来育乐.png" group-title="🌊港·澳·台",纬来育乐
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="臺視HD" tvg-id="" tvg-country="台灣" tvg-language="國語" tvg-logo="https://epg.pw/media/uploads/tmp_logo/2015/09/29/20150929121750759037_14.jpg" group-title="新聞",[HD]台視[geo-blocked]
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="臺視HD" tvg-id="" tvg-country="台灣" tvg-language="國語" tvg-logo="https://epg.pw/media/uploads/tmp_logo/2015/09/29/20150929121750759037_14.jpg" group-title="新聞",[HD]台視[geo-blocked]
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="華視" tvg-id="" tvg-country="台灣" tvg-language="國語" tvg-logo="https://epg.pw/media/images/channel/2020/07/26/large/20200726143140379428_88.jpg" group-title="綜合",[HD]华视[geo-blocked]
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="華視HD" tvg-id="" tvg-country="台灣" tvg-language="國語" tvg-logo="https://epg.pw/media/images/channel/2022/05/06/large/20220506164257585081_80.png" group-title="綜合",[HD]華視[geo-blocked]
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="鏡新聞" tvg-id="368819" tvg-country="台灣" tvg-language="國語" tvg-logo="https://epg.pw/media/images/channel/2023/06/05/large/20230605011449264065_58.jpg" group-title="新聞",[HD]新闻[geo-blocked]
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1 tvg-name="非凡新聞HD" tvg-id="369240" tvg-country="台灣" tvg-language="國語" tvg-logo="https://epg.pw/media/images/channel/2016/06/17/large/20160617165249161501_56.png" group-title="新聞",[BD]非凡新闻[geo-blocked]
2025-02-13 06:26:01,175 - WARNING - 無效頻道: #EXTINF:-1,安博
2025-02-13 06:26:01,215 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",The K-POP2
2025-02-13 06:26:01,216 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",台视新闻 HD
2025-02-13 06:26:01,216 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",三立NEWS+
2025-02-13 06:26:01,216 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",三立iNEWS
2025-02-13 06:26:01,216 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",中视新闻 HD
2025-02-13 06:26:01,216 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",华视综合娱乐
2025-02-13 06:26:01,216 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",寰宇新闻
2025-02-13 06:26:01,216 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",东森財经 HD
2025-02-13 06:26:01,216 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",The K-POP
2025-02-13 06:26:01,218 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",三立NEWS+
2025-02-13 06:26:01,231 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",东森超视34.5
2025-02-13 06:26:01,231 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",TVBS新闻
2025-02-13 06:26:01,231 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",TVBS新闻
2025-02-13 06:26:01,232 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",台视新闻 HD
2025-02-13 06:26:01,232 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",台视新闻 HD
2025-02-13 06:26:01,232 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",民视新闻 HD
2025-02-13 06:26:01,232 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",民视新闻 HD
2025-02-13 06:26:01,233 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",台视新闻 HD
2025-02-13 06:26:01,234 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",TVBS新闻
2025-02-13 06:26:01,234 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",TVBS亞洲
2025-02-13 06:26:01,234 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",TVBS亞洲
2025-02-13 06:26:01,234 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",TVBS新闻
2025-02-13 06:26:01,235 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",TVBS新闻
2025-02-13 06:26:01,235 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",台视新闻 HD
2025-02-13 06:26:01,235 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",TVBS亞洲
2025-02-13 06:26:01,235 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",台视新闻 HD
2025-02-13 06:26:01,236 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",民视新闻 HD
2025-02-13 06:26:01,236 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",民视新闻 HD
2025-02-13 06:26:01,236 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",民视新闻 HD
2025-02-13 06:26:01,248 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",The K-POP
2025-02-13 06:26:01,258 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",中视 HD
2025-02-13 06:26:01,262 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",大爱1台
2025-02-13 06:26:01,269 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",民视新闻 HD
2025-02-13 06:26:01,271 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",寰宇新闻
2025-02-13 06:26:01,273 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",大爱2台
2025-02-13 06:26:01,274 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",中视新闻 HD
2025-02-13 06:26:01,275 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",中天新闻
2025-02-13 06:26:01,276 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",Viva 美好購物2台
2025-02-13 06:26:01,277 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",东森购物2
2025-02-13 06:26:01,278 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",台视新闻 HD
2025-02-13 06:26:01,279 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",民视新闻 HD
2025-02-13 06:26:01,279 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",民视新闻 HD
2025-02-13 06:26:01,280 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",台视新闻 HD
2025-02-13 06:26:01,281 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",MOMO購物2台
2025-02-13 06:26:01,282 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",EF运通
2025-02-13 06:26:01,282 - WARNING - 無效頻道: #EXTINF:-1 group-title="港澳台",三立iNEWS
2025-02-13 06:26:01,283 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",大爱1台
2025-02-13 06:26:01,287 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",幸福空间居家台
2025-02-13 06:26:01,288 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",东森购物3
2025-02-13 06:26:01,289 - INFO - 有效頻道: #EXTINF:-1 group-title="港澳台",MOMO購物1台
